TESIS,TITULO,FECHA,RESUMEN,TIPO ARCHIVO,Idioma,TIPO TT,AUTOR1,AUTOR2,AUTOR3,AUTOR4,DIRECTOR1,DIRECTOR2,PALABRAS CLAVES 1,PALABRAS CLAVES 2,PALABRAS CLAVES 3,PALABRAS CLAVES 4,PALABRAS CLAVES 5,PALABRAS CLAVES 6,PALABRAS CLAVES 7,URL
Aplicacion_informatica_para_el_uso_de_voz_sobre_IP_y_la_ubicacion_planimetrica_de_llamadas_telefonicas_en_el_centro_de_atencion_al_cliente_Help_desk_UTPL_2012,Aplicacion informatica para el uso de voz sobre IP y la ubicacion planimetrica de llamadas telefonicas en el centro de atencion al cliente Help desk UTPL,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Soto Aguilera Claudio Francisco,NULL,NULL,NULL,Guaman Coronel Daniel Alejandro,NULL,UTPL,Voz,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=3948.titn.
Aplicacion_de_semantica_ligera_en_el_contexto_de_los_recursos_educativos_abiertos_2012,Aplicacion de semantica ligera en el contexto de los recursos educativos abiertos,2012,"Los Recursos Educativos Abiertos en el marco de la web semantica pueden llegar a ser mas accesibles si los documentos son etiquetados utilizando lenguajes como RDF, RDFa, microformatos, etc. Para asegurar un cierto nivel de accesibilidad de los recursos educativos, es necesario el cumplimiento de ciertos estandares de accesibilidad de manera que los usuarios web, puedan conseguir recursos accesibles. El uso de ciertos estandares en la web abre mejores posibilidades y asegura la interoperabilidad entre los recursos de organizaciones de todo el mundo. Sin embargo, el problema de acceso a material digital, no solo comprende el tema de accesibilidad web, el acceso a los recursos educativos se encuentra limitado por algunos motivos que impiden hacer uso de estos, por ejemplo, el acceso a estos tiene algun costo, o por la existencia de barreras y problemas de accesibilidad.",PDF,es,Trabajo de Fin de Titulacion,Flores Castillo Patricia Lorena,NULL,NULL,NULL,Chicaiza Espinoza Janneth Alexandra,NULL,Profesores de educacion especial,Innovacion educativa,Ingeniero en sistemas informaticos y computacion,Web,Recursos educativos abiertos,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=3883.titn.
Aplicacion_de_tecnicas_de_mineria_de_datos_para_identificar_patrones_de_comportamientos_relacionados_con_las_acciones_del_estudiante_con_el_EVA_de_la_UTPL_2012,Aplicacion de tecnicas de mineria de datos para identificar patrones de comportamientos relacionados con las acciones del estudiante con el EVA de la UTPL,2012,"La presente investigacion esta enfocada en la identificacion de patrones de comportamiento relacionados con las acciones de los estudiantes que utilizan el entorno virtual de aprendizaje (EVA), se realizo un analisis previo de la base de datos correspondiente al periodo academico Abril2011/Agosto2001, para seleccionar exclusivamente las entidades que contienen informacion util sobre las acciones que realizan los estudiantes. En la utilizacion de tecnicas de mineria se opto por la clasificacion : arboles de decision, reglas de decision y metodos bayesianos estas se utilizaron para clasificar los indicadores : participacion o interes en el curso y utilizacion de herramientas por carrera siendo estas informatica y abogacia, mientras que el analisis de secuencias, mediante la agrupacion o agrupacion en clusteres (clustering), fue utilizado para conocer los grupos de los estudiantes con caracteristicas similares en relacion al indicador de la utilizacion de herramientas y para encontrar el estilo de aprendizaje domiwnante y conocer como aprenden los estudiantes mediante el analisis de los estilos. Con los resultados obtenidos se detallo en un modelo de datos : indicadores, atributos y estilos de aprendizaje del estudiante.",PDF,es,Trabajo de Fin de Titulacion,Sarango Sedamanos Marcia Yudy,NULL,NULL,NULL,Valdiviezo Diaz Priscila Marisela,NULL,UTPL,Aprendizaje virtual,Moodle,Datos,Informatica,Ingeniero en sistemas informaticos y computacion,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=3888.titn.
Auditoria_Informatica_orientada_a_los_procesos_criticos_de_credito_generados_en_la_Cooperativa_de_Ahorro_Y_Credito_Fortuna_aplicando_el_marco_de_trabajo_COBIT_2012,Auditoria Informatica orientada a los procesos criticos de credito generados en la Cooperativa de Ahorro Y Credito Fortuna aplicando el marco de trabajo COBIT,2012,"La presente investigacion se enfoca al desarrollo del proceso de una auditoria informatica para evaluar y determinar el nivel de cumplimiento de los procesos criticos de credito de la Cooperativa de Ahorro y Credito Fortuna, en base al marco de referencia COBIT. El proceso abarca la recopilacion de la mayor cantidad de evidencia tecnica mediante la aplicacion dos herramientas : IDEA para analisis de la base de datos y NESSUS para escaneo de vulnerabilidad es de equipos, tambien se aplico la metodologia de los modelos de madurez del COBIT, la cual por medio de una matriz de evaluacion permitio la verificacion del cumplimiento de los procesos de credito, todo esto con el fin de emitir un informe de hallazgos, que muestre las falencias existentes en dichos procesos, tanto manuales como sistematizados. Finalmente se plantea un plan de accion el cual pretende facilitar la toma de decisiones por parte de los directivos de institucion, el cual asociado a la introduccion y consolidacion de la auditoria informatica establecera una cultura de seguridad en el tratamiento de la informacion en todos los procesos de negocio.",PDF,es,Trabajo de Fin de Titulacion,Coronel Castro Karolay Michell,NULL,NULL,NULL,Abad Espinoza Marco Patricio,NULL,Auditoria Informatica,COBIT,Contabilidad bancaria,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=5234.titn.
Analisis_de_las_interacciones_de_los_estudiantes_de_la_UTPL_con_las_herramientas_del_Eva_mediante_el_analisis_de_redes_sociales_y_la_aplicacion_de_tecnicas_de_mineria_de_datos_para_determinar_indicadores_de_interaccion_basados_en_la_colaboracion_2012,Analisis de las interacciones de los estudiantes de la UTPL con las herramientas del Eva mediante el analisis de redes sociales y la aplicacion de tecnicas de mineria de datos para determinar indicadores de interaccion basados en la colaboracion,2012,"Este proyecto de investigacion consiste en descubrir los modos de interaccion en los servicios de comunicacion que mantienen los estudiantes y profesores de la UTPL correspondiente al periodo academico octubre 2010 febrero 2011; se utilizaron los ficheros log, pues contienen informacion absoluta de la interaccion del estudiante con el entorno virtual; como primer punto se midio el grado de utilizacion de las herramientas colaborativas (foros, twitter, chat y mensajeria) que dispone el entorno virtual de aprendizaje (EVA), se lo hizo a traves de tecnicas estadisticas. Con todos los datos recolectados, la obtencion de indicadores se la llevo a cabo de dos formas cuyo resultado se complementa, mediante el analisis de redes sociales y a traves de la aplicacion de tecnicas de mineria de datos, en esta ultima se realizo un preprocesamiento que consiste en la limpieza de la informacion, luego se aplico tecnicas de mineria de datos para obtener patrones y con este resultado obtener indicadores que serviran en un futuro para un modelo de estudiante; esto permitio deducir informacion importante sobre el proceso de aprendizaje colaborativo.",PDF,es,Trabajo de Fin de Titulacion,Hidalgo Tene Ruth Amada,NULL,NULL,NULL,Sucunuta España Manuel Eduardo,NULL,Informatica,NULL,NULL,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2580.titn.
Analisis_de_componentes_principales_de_variables_en_imagenes_satelitales_de_la_ciudad_de_Loja_años_19952000_2012,Analisis de componentes principales de variables en imagenes satelitales de la ciudad de Loja años 19952000,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Torres Ojeda Maria del Cisne,NULL,NULL,NULL,Gomez Alvarado Hector Fernando,NULL,Imagenes Satelitales,Variables,Inteligencia artificial,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2151.titn.
Analisis_comparacion_e_integracion_de_software_para_la_construccion_de_arboles_filogeneticos_2012,Analisis comparacion e integracion de software para la construccion de arboles filogeneticos,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Castillo Carrion Janneth Eulalia,NULL,NULL,NULL,Piedra Pullaguari Nelson Oswaldo,NULL,Software,Bioinformatica,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2092.titn.
Analisis_comparativo_entre_las_tecnicas_utilizadas_en_la_Ingenieria_de_Requisitos_permitiendo_evaluar_dichas_tecnicas_frente_a_las_caracteristicas_de_los_proyectos_de_software_2012,Analisis comparativo entre las tecnicas utilizadas en la Ingenieria de Requisitos permitiendo evaluar dichas tecnicas frente a las caracteristicas de los proyectos de software,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Valdivieso Narvaez Daniel Estiven,NULL,NULL,NULL,Jaramillo Hurtado Danilo Ruben,NULL,Software,Ingenieria de requisitos,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=2096.titn.
Benchmarkimg_para_aplicaciones_de_los_servidores_de_internet_de_la_UTPL_2012,Benchmarkimg para aplicaciones de los servidores de internet de la UTPL,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Barba Herrera Maria del Cisne,Cuenca Benitez Diana Cecilia,NULL,NULL,Cueva Carrion Samanta Patricia,NULL,Benchmarking,UTPL,Servidores de internet,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=6007.titn.
Atlas_linguistico_de_la_provincia_de_Loja_ALIL_2012,Atlas linguistico de la provincia de Loja ALIL,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Paute Paucar Susana Guadalupe,NULL,NULL,NULL,Gomez Alvarado Hector Fernando,NULL,Linguistica,Alil-Sistema,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=4953.titn.
Comunicacion_entre_plataformas_Windows_y_Linux_en_la_red_Lan_de_la_UTPL_2012,Comunicacion entre plataformas Windows y Linux en la red Lan de la UTPL,2012,"En los hogares y oficinas de todo el mundo, la gran mayoria de las computadoras funcionan con Windows, sin embargo, no solo de Windows vive la humanidad. Apple ha combinado eficazmente un hardware de primera categoria con un sistema operativo seguro, estable y rico en funciones como es el OS X para convencer a muchos usuarios de Windows de que la Macintosh moderna es un sistema superior para varios usos. Y con cimientos de codigo abierto y una coleccion casi ilimitada de software gratuito, Linux atrae cada vez mas la atencion. Actualmente el manejo de la informacion no se encuentra limitado por una sola plataforma, permitiendo asi a los usuarios elegir una plataforma de trabajo de acuerdo a las necesidades y prestaciones que cada sistema Operativo ofrece.",PDF,es,Trabajo de Fin de Titulacion,Conde Zhingre Lorena Elizabeth,NULL,NULL,NULL,Torres Cobos Rommel Ramiro,NULL,Windows,Sistemas operativos,Red LAN,Macintosh,Linux,Ingeniero en sistemas informaticos y computacion,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=9606.titn.
Comparacion_de_las_tecnicas_de_clasificacion_de_imagenes_satelitales_J48_PART_mediante_el_uso_de_componentes_principales_2012,Comparacion de las tecnicas de clasificacion de imagenes satelitales J48 PART mediante el uso de componentes principales,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Caraguay Ramirez Stalin Xavier,NULL,NULL,NULL,Gomez Alvarado Hector Fernando,NULL,Imagenes Satelitales,Landsat,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=9364.titn.
Clasificacion_de_imagenes_multiespectrales_de_la_region_sur_del_Ecuador_mediante_redes_neuronales_2012,Clasificacion de imagenes multiespectrales de la region sur del Ecuador mediante redes neuronales,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Narvaez Serrano Angel Ferdinand,NULL,NULL,NULL,Gomez Alvarado Hector Fernando,NULL,Matlab,Imagenes,Redes neuronales,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=8213.titn.
Comparacion_de_herramientas_de_busqueda_para_recursos_educativos_abiertos_2012,Comparacion de herramientas de busqueda para recursos educativos abiertos,2012,"Los Recursos Educativos Abiertos (OER, Open Educational Resources por sus siglas en ingles) se definen como materiales y recursos educativos ofrecidos libre y abiertamente para que cualquiera los pueda usar, esta definicion fue dada por la UNESCO en el año 2002 (UNESCO, 2002). Aunque por lo general no existe una definicion en comun ya que han sido muchos los autores que han propuesto diferentes definiciones, este tema se abordara en una seccion posterior. Actualmente, muchas instituciones y universidades cuentan con paginas web, blogs, wikis, etc.; y tanto las instituciones como los usuarios incrementan sus necesidades para poder acceder a los recursos de la web, pero para ello deben contar con las herramientas necesarias para encontrar y organizar la informacion de una forma descentralizada.",PDF,es,Trabajo de Fin de Titulacion,Cueva Hidalgo Israel Alejandro,NULL,NULL,NULL,Chicaiza Espinosa Janneth,NULL,Recuperacion de informacion,Programacion Informatica,Recursos educativos abiertos,Sistemas de busqueda,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=9349.titn.
Creacion_de_una_red_social_de_aprendizaje_RSA_para_un_entorno_virtual_de_aprendizaje_EVA_2012,Creacion de una red social de aprendizaje RSA para un entorno virtual de aprendizaje EVA,2012,"El Entorno Virtual de Aprendizaje de la UTPL (EVA) esta desarrollado sobre uno de los mas populares LMS (Learning Managing System) existentes en la actualidad, llamado Moodle. Se basa practicamente en la creacion de cursos online en donde convergen miles de estudiantes, profesores, tematicas, asi como metodologias, con la unica finalidad de formar profesionales en las diferentes ramas. El presente proyecto de tesis, nacio con la expectativa de lograr que este encuentro, entre maestros y profesionales en formacion, tenga muchas mas ventajas, asi como tambien permita mejorar el nivel de interaccion entre los actores ya mencionados, tal como lo propone el cliente que en este caso es el Departamento de Virtualizacion de la UTPL.",PDF,es,Trabajo de Fin de Titulacion,Jaramillo Fierro Jamil Eduardo,Romero Parra Alex Fernando,NULL,NULL,Torres Diaz Juan Carlos,NULL,Programas para computadores,Microblogs,Red personal,Moodle,Ingeniero en Sistemas Informaticos y Computacion,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=11406.titn.
Creacion_de_una_interfaz_en_linea_para_activacion_de_permiso_entre_administrador_antivirus_y_el_usuario_final_2012,Creacion de una interfaz en linea para activacion de permiso entre administrador antivirus y el usuario final,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Jaramillo Sari Karla Cesibel,NULL,NULL,NULL,Castillo Estrella Galo Patricio,NULL,Antivirus,Seguridad de datos,Ingeniero en sistemas informaticos y computacion,NULL,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=11408.titn.
Crear_un_portal_de_informacion_comunicacion_sobre_biodiversidad_y_productos_eco_turisticos_existentes_en_uestro_pais_para_los_miembros_de_la_ASEC_y_los_cibernautas_2012,Crear un portal de informacion comunicacion sobre biodiversidad y productos eco turisticos existentes en uestro pais para los miembros de la ASEC y los cibernautas,2012,NULL,PDF,es,Trabajo de Fin de Titulacion,Maza Estrada Jenny Patricia,Ramirez Coronel Ramiro Leonardo,Apolo Herrera Maria Ximena Vicenta,NULL,Guaman Bastidas Franco Olivio,NULL,Redes de informacion,Base de datos,Ingeniero en sistemas informaticos y computacion,Licenciado en administracion turistica,NULL,NULL,NULL,https://bibliotecautpl.utpl.edu.ec/abnetopac/abnetcl.exe?ACC=DOSEARCH&xsqf99=11507.titn.
